book_id,title,author,year,download_link
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1797,https://www.gutenberg.org/ebooks/84.txt.utf-8
2701,"Moby Dick; Or, The Whale","Melville, Herman",1819,https://www.gutenberg.org/ebooks/2701.txt.utf-8
1342,Pride and Prejudice,"Austen, Jane",1775,https://www.gutenberg.org/ebooks/1342.txt.utf-8
11,Alice's Adventures in Wonderland,"Carroll, Lewis",1832,https://www.gutenberg.org/ebooks/11.txt.utf-8
145,Middlemarch,"Eliot, George",1819,https://www.gutenberg.org/ebooks/145.txt.utf-8
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",1879,https://www.gutenberg.org/ebooks/2641.txt.utf-8
64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",1896,https://www.gutenberg.org/ebooks/64317.txt.utf-8
2542,A Doll's House : a play,"Ibsen, Henrik",1828,https://www.gutenberg.org/ebooks/2542.txt.utf-8
37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1832,https://www.gutenberg.org/ebooks/37106.txt.utf-8
67979,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",1874,https://www.gutenberg.org/ebooks/67979.txt.utf-8
16389,The Enchanted April,"Von Arnim, Elizabeth",1866,https://www.gutenberg.org/ebooks/16389.txt.utf-8
174,The Picture of Dorian Gray,"Wilde, Oscar",1854,https://www.gutenberg.org/ebooks/174.txt.utf-8
394,Cranford,"Gaskell, Elizabeth Cleghorn",1810,https://www.gutenberg.org/ebooks/394.txt.utf-8
1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1667,https://www.gutenberg.org/ebooks/1080.txt.utf-8
6761,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",1721,https://www.gutenberg.org/ebooks/6761.txt.utf-8
2160,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",1721,https://www.gutenberg.org/ebooks/2160.txt.utf-8
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1860,https://www.gutenberg.org/ebooks/1952.txt.utf-8
6593,"History of Tom Jones, a Foundling","Fielding, Henry",1707,https://www.gutenberg.org/ebooks/6593.txt.utf-8
4085,The Adventures of Roderick Random,"Smollett, T. (Tobias)",1721,https://www.gutenberg.org/ebooks/4085.txt.utf-8
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1854,https://www.gutenberg.org/ebooks/844.txt.utf-8
5197,My Life — Volume 1,"Wagner, Richard",1813,https://www.gutenberg.org/ebooks/5197.txt.utf-8
1259,Twenty years after,"Dumas, Alexandre",1802,https://www.gutenberg.org/ebooks/1259.txt.utf-8
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1850,https://www.gutenberg.org/ebooks/43.txt.utf-8
345,Dracula,"Stoker, Bram",1847,https://www.gutenberg.org/ebooks/345.txt.utf-8
2554,Crime and Punishment,"Dostoyevsky, Fyodor",1821,https://www.gutenberg.org/ebooks/2554.txt.utf-8
5200,Metamorphosis,"Kafka, Franz",1883,https://www.gutenberg.org/ebooks/5200.txt.utf-8
76,Adventures of Huckleberry Finn,"Twain, Mark",1835,https://www.gutenberg.org/ebooks/76.txt.utf-8
25344,The Scarlet Letter,"Hawthorne, Nathaniel",1804,https://www.gutenberg.org/ebooks/25344.txt.utf-8
98,A Tale of Two Cities,"Dickens, Charles",1812,https://www.gutenberg.org/ebooks/98.txt.utf-8
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",1868,https://www.gutenberg.org/ebooks/408.txt.utf-8
1400,Great Expectations,"Dickens, Charles",1812,https://www.gutenberg.org/ebooks/1400.txt.utf-8
1260,Jane Eyre: An Autobiography,"Brontë, Charlotte",1816,https://www.gutenberg.org/ebooks/1260.txt.utf-8
